Index	RewardExp	MonsterIndexes	MonsterLevels	MonsterPosition
0	50	0|1|2|0|0	0|0|0|0|0	3,5|2,5|4,5|null|null
1	100	0|1|2|0|0	0|0|0|0|0	3,5|2,5|4,5|null|null
2	150	0|1|2|0|0	0|0|0|0|0	3,5|2,5|4,5|null|null
3	200	0|1|2|0|0	0|0|0|0|0	3,5|2,5|4,5|null|null
4	250	0|1|2|0|0	0|0|0|0|0	3,5|2,5|4,5|null|null
5	300	0|1|2|0|0	0|0|0|0|0	3,5|2,5|4,5|null|null
6	350	0|1|2|0|0	0|0|0|0|0	3,5|2,5|4,5|null|null
7	400	0|1|2|0|0	0|0|0|0|0	3,5|2,5|4,5|null|null
8	450	0|1|2|0|0	0|0|0|0|0	3,5|2,5|4,5|null|null
9	500	0|1|2|0|0	0|0|0|0|0	3,5|2,5|4,5|null|null
10	550	0|1|2|0|0	0|0|0|0|0	3,5|2,5|4,5|null|null
11	600	0|1|2|0|0	0|0|0|0|0	3,5|2,5|4,5|null|null
12	650	0|1|2|0|0	0|0|0|0|0	3,5|2,5|4,5|null|null
13	700	0|1|2|0|0	0|0|0|0|0	3,5|2,5|4,5|null|null
14	750	0|1|2|0|0	0|0|0|0|0	3,5|2,5|4,5|null|null
15	800	0|1|2|0|0	0|0|0|0|0	3,5|2,5|4,5|null|null
16	850	0|1|2|0|0	0|0|0|0|0	3,5|2,5|4,5|null|null
17	900	0|1|2|0|0	0|0|0|0|0	3,5|2,5|4,5|null|null
18	950	0|1|2|0|0	0|0|0|0|0	3,5|2,5|4,5|null|null
