Index	Name	Desc	CharacterGrade	BattleCharacterType	HpInc	AtInc	ApInc	DfInc	AttackSpeed	AttackIndex	SkillIndex	SpriteResName	AnimatorResName	BulletResName	Hp	At	Ap	Df
0	CHARACTER_NAME_0000	CHARACTER_DESC_0000	Grade1	Range	53	0.9	0.9	0.82	0.78	0	1	AirA	Air	BattleBulletElement	428.4|579.6	38.25|51.75	38.25|51.75	22.1|29.9
1	CHARACTER_NAME_0001	CHARACTER_DESC_0001	Grade1	Melee	42	1.06	1.06	0.61	0.81	0	2	BatQ	Bat	BattleBulletElement	413.95|560.05	49.3|66.7	49.3|66.7	26.35|35.65
2	CHARACTER_NAME_0002	CHARACTER_DESC_0002	Grade1	Melee	34	0.88	0.88	0.53	0.64	0	3	ButterflyA	Butterfly	BattleBulletElement	370.6|501.4	28.9|39.1	28.9|39.1	20.4|27.6
3	CHARACTER_NAME_0003	CHARACTER_DESC_0003	Grade2	Assassin	51	0.91	0.91	0.45	1.14	0	4	CatF	Cat	BattleBulletElement	445.4|602.6	34.85|47.15	34.85|47.15	18.7|25.3
4	CHARACTER_NAME_0004	CHARACTER_DESC_0004	Grade1	Melee	59	1.1	1.1	1.15	0.72	0	5	ChestA	Chest	BattleBulletElement	478.55|647.45	41.65|56.35	41.65|56.35	37.4|50.6
5	CHARACTER_NAME_0005	CHARACTER_DESC_0005	Grade1	Melee	34	0.91	0.91	0.8	0.83	0	6	CloudA	Cloud	BattleBulletElement	368.9|499.1	45.9|62.1	45.9|62.1	28.05|37.95
6	CHARACTER_NAME_0006	CHARACTER_DESC_0006	Grade1	Melee	33	0.93	0.93	0.77	0.83	0	7	CountA	Count	BattleBulletElement	361.25|488.75	48.45|65.55	48.45|65.55	28.9|39.1
7	CHARACTER_NAME_0007	CHARACTER_DESC_0007	Grade1	Melee	64	0.83	0.83	1.24	0.69	0	8	CrabC	Crab	BattleBulletElement	498.1|673.9	40.8|55.2	40.8|55.2	44.2|59.8
8	CHARACTER_NAME_0008	CHARACTER_DESC_0008	Grade1	Melee	53	1.12	1.12	0.58	0.73	0	9	DogG	Dog	BattleBulletElement	452.2|611.8	42.5|57.5	42.5|57.5	22.95|31.05
9	CHARACTER_NAME_0009	CHARACTER_DESC_0009	Grade1	Melee	57	1.07	1.07	0.84	0.89	0	10	DwarfD	Dwarf	BattleBulletElement	476|644	39.95|54.05	39.95|54.05	30.6|41.4
10	CHARACTER_NAME_0010	CHARACTER_DESC_0010	Grade1	Melee	31	1.21	1.21	0.42	0.61	0	11	DwarfA	Dwarf	BattleBulletElement	364.65|493.35	52.7|71.3	52.7|71.3	17|23
11	CHARACTER_NAME_0011	CHARACTER_DESC_0011	Grade1	Melee	57	1.05	1.05	1.1	0.7	0	12	DwarfE	Dwarf	BattleBulletElement	467.5|632.5	38.25|51.75	38.25|51.75	35.7|48.3
12	CHARACTER_NAME_0012	CHARACTER_DESC_0012	Grade1	Melee	33	0.91	0.91	0	0.7	0	13	DyeA	Dye	BattleBulletElement	368.9|499.1	40.8|55.2	40.8|55.2	0|0
