Index	Level	LevelString	AccReqExp	ReqExp	CoExp
14000	0	1	100	100	0
14001	1	2	205	105	100
14002	2	3	315	110	205
14003	3	4	431	115	315
14004	4	5	552	121	431
14005	5	6	680	127	552
14006	6	7	814	134	680
14007	7	8	954	140	814
14008	8	9	1102	147	954
14009	9	10	1257	155	1102
14010	10	11	1420	162	1257
14011	11	12	1599	179	1420
14012	12	13	1796	197	1599
14013	13	14	2013	216	1796
14014	14	15	2252	238	2013
14015	15	16	2514	262	2252
14016	16	17	2803	288	2514
14017	17	18	3120	317	2803
14018	18	19	3469	349	3120
14019	19	20	3853	384	3469
14020	20	21	4276	422	3853
14021	21	22	4762	485	4276
14022	22	23	5320	558	4762
14023	23	24	5963	642	5320
14024	24	25	6702	738	5963
14025	25	26	7552	849	6702
14026	26	27	8529	977	7552
14027	27	28	9653	1123	8529
14028	28	29	10945	1292	9653
14029	29	30	12432	1486	10945
14030	30	31	14141	1709	12432
14031	31	32	16192	2051	14141
14032	32	33	18653	2461	16192
14033	33	34	21607	2953	18653
14034	34	35	25151	3544	21607
14035	35	36	29404	4253	25151
14036	36	37	34508	5103	29404
14037	37	38	40632	6124	34508
14038	38	39	47981	7349	40632
14039	39	40	56801	8819	47981
14040	40	41	67384	10583	56801
14041	41	42	80612	13228	67384
14042	42	43	97149	16536	80612
14043	43	44	117819	20670	97149
14044	44	45	143656	25837	117819
14045	45	46	175953	32296	143656
14046	46	47	216324	40371	175953
14047	47	48	266788	50463	216324
14048	48	49	329868	63079	266788
14049	49	50	408718	78849	329868
14050	50	Max	507280	98562	408718
