Index	InvokeSkillIndex	AfterSkillIndex	Name	Desc	SkillActiveCondition	SkillStatusType	StatusChangeType	InvokeCount	InvokeTime	SkillBound	SkillTargetBound	SkillTarget	SkillValue	SkillValueType	RefSkillValueTarget	RefSkillStatusType	RefSkillValueAmount	RefHealthType	BattleStateType	BattleStateSeconds	InvokeParticleIndex	ApplyParticleIndex	AfterParticleIndex
0	0	0	SKILL_NAME_0000	SKILL_DESC_0000	OnActive	Health	Decrease	1	0	Target	0	Enemy	0	Number	Self	Attack	1	None	None	0	0	0	0
1	0	0	SKILL_NAME_0001	SKILL_DESC_0001	OnActive	Health	Increase	1	0	All	0	Ally	45	Number	Self	AbilityPoint	0.25	None	None	0	9000	9000	9000
2	0	40021	SKILL_NAME_0002	SKILL_DESC_0002	OnActive	Health	Decrease	1	0	Target	0	Enemy	60	Number	Self	Attack	0.15	None	None	0	9000	9000	9000
3	0	0	SKILL_NAME_0002	SKILL_DESC_0002	OnAfter	Health	Decrease	1	0	Self	0	Ally	100	Number	Self	None	0	None	None	0	9000	9000	9000
4	0	0	SKILL_NAME_0003	SKILL_DESC_0003	OnActive	Health	Decrease	1	0	SelfArea	1	Ally	65	Number	Self	AbilityPoint	0.4	None	None	0	9000	9000	9000
5	0	0	SKILL_NAME_0004	SKILL_DESC_0004	OnActive	Health	Decrease	2	0	FanShape	1	Enemy	35	Number	Self	AbilityPoint	0.4	None	None	0	9000	9000	9000
6	0	0	SKILL_NAME_0005	SKILL_DESC_0005	OnActive	Health	Decrease	1	0	SelfAreaOnly	1	Enemy	100	Number	Self	AbilityPoint	0.05	MaxHealth	None	0	9000	9000	9000
7	0	0	SKILL_NAME_0006	SKILL_DESC_0006	OnActive	Health	Decrease	1	0	All	0	Enemy	45	Number	Self	AbilityPoint	0.25	None	None	5	9000	9000	9000
8	0	0	SKILL_NAME_0007	SKILL_DESC_0007	OnActive	Health	Decrease	1	0	Target	0	Enemy	80	Number	Self	AbilityPoint	1	None	None	0	9000	9000	9000
9	0	0	SKILL_NAME_0008	SKILL_DESC_0008	OnActive	Health	Decrease	1	15	Self	0	Ally	8	Number	Self	AbilityPoint	0.25	MaxHealth	None	0	9000	9000	9000
