Id	MonsterIndexes	MonsterLevels	MonsterPosition	RewardExp
9000	2000/2001/2002	0/0/0	3,5/2,5/4,5	50
9001	2000/2001/2002	0/1/0	3,5/2,5/4,5	100
9002	2000/2001/2002	0/1/0	3,5/2,5/4,5	150
9003	2000/2001/2002	0/1/0	3,5/2,5/4,5	200
9004	2000/2001/2002	0/1/0	3,5/2,5/4,5	250
9005	2000/2001/2002	0/1/0	3,5/2,5/4,5	300
9006	2000/2001/2002	0/1/0	3,5/2,5/4,5	350
9007	2000/2001/2002	0/1/0	3,5/2,5/4,5	400
9008	2000/2001/2002	0/1/0	3,5/2,5/4,5	450
9009	2000/2001/2002	0/1/0	3,5/2,5/4,5	500
9010	2000/2001/2002	0/1/0	3,5/2,5/4,5	550
9011	2000/2001/2002	0/1/0	3,5/2,5/4,5	600
9012	2000/2001/2002	0/1/0	3,5/2,5/4,5	650
9013	2000/2001/2002	0/1/0	3,5/2,5/4,5	700
9014	2000/2001/2002	0/1/0	3,5/2,5/4,5	750
9015	2000/2001/2002	0/1/0	3,5/2,5/4,5	800
9016	2000/2001/2002	0/1/0	3,5/2,5/4,5	850
9017	2000/2001/2002	0/1/0	3,5/2,5/4,5	900
9018	2000/2001/2002	0/1/0	3,5/2,5/4,5	950
