Id	Level	LevelString	AccReqExp	ReqExp	CoExp
3000	0	1	100	100	0
3001	1	2	200	100	100
3002	2	3	301	101	200
3003	3	4	404.02	103.02	301
3004	4	5	510.13059999999996	106.1106	404.02
3005	5	6	620.4856239999999	110.35502400000001	510.13059999999996
3006	6	7	736.3583991999999	115.87277520000002	620.4856239999999
3007	7	8	859.1835409119999	122.82514171200003	736.3583991999999
3008	8	9	990.6064425438399	131.42290163184003	859.1835409119999
3009	9	10	1132.543176306227	141.93673376238723	990.6064425438399
3010	10	11	1287.254216107229	154.7110398010021	1132.543176306227
3011	11	12	1457.4363598883313	170.18214378110233	1287.254216107229
3012	12	13	1646.3385394853549	188.9021795970236	1457.4363598883313
3013	13	14	1857.9089806340214	211.57044114866645	1646.3385394853549
3014	14	15	2096.9835791320147	239.07459849799307	1857.9089806340214
3015	15	16	2369.5286214197267	272.5450422877121	2096.9835791320147
3016	16	17	2682.9554200505954	313.42679863086886	2369.5286214197267
3017	17	18	3046.530506462403	363.57508641180783	2682.9554200505954
3018	18	19	3471.913357564218	425.38285110181516	3046.530506462403
3019	19	20	3973.86512186436	501.95176430014186	3471.913357564218
3020	20	21	4571.187721381529	597.3225995171688	3973.86512186436
3021	21	22	5287.974840802131	716.7871194206025	4571.187721381529
3022	22	23	6155.28725530106	867.312414498929	5287.974840802131
3023	23	24	7213.408400989753	1058.1211456886933	6155.28725530106
3024	24	25	8514.897410186846	1301.4890091970929	7213.408400989753
3025	25	26	10128.743781591242	1613.846371404395	8514.897410186846
3026	26	27	12146.051745846737	2017.307964255494	10128.743781591242
3027	27	28	14687.85978080866	2541.808034961922	12146.051745846737
3028	28	29	17915.9559852103	3228.0962044016414	14687.85978080866
3029	29	30	22047.9191268444	4131.963141634101	17915.9559852103
3030	30	31	27378.151579552392	5330.23245270799	22047.9191268444
3031	31	32	34307.45376807278	6929.302188520387	27378.151579552392
3032	32	33	43384.839635034485	9077.385866961708	34307.45376807278
3033	33	34	55366.98897942394	11982.149344389454	43384.839635034485
3034	34	35	71303.24760746192	15936.258628037975	55366.98897942394
3035	35	36	92657.83416903281	21354.586561570886	71303.24760746192
3036	36	37	121486.52602715351	28828.6918581207	92657.83416903281
3037	37	38	160693.54695419766	39207.020927044156	121486.52602715351
3038	38	39	214407.16562424815	53713.6186700505	160693.54695419766
3039	39	40	288531.95938891784	74124.79376466968	214407.16562424815
3040	40	41	391565.42272180866	103033.46333289085	288531.95938891784
3041	41	42	535812.2713878559	144246.84866604718	391565.42272180866
3042	42	43	739200.3280069823	203388.05661912652	535812.2713878559
3043	43	44	1028011.368406142	288811.04039915965	739200.3280069823
3044	44	45	1441011.1561769403	412999.7877707983	1028011.368406142
3045	45	46	2035730.8505668899	594719.6943899496	1441011.1561769403
3046	46	47	2898074.407432317	862343.5568654268	2035730.8505668899
3047	47	48	4157096.00045584	1259021.5930235232	2898074.407432317
3048	48	49	6007857.742200419	1850761.741744579	4157096.00045584
3049	49	50	8746985.119982395	2739127.377781977	6007857.742200419
3050	50	51	12828284.912877541	4081299.7928951457	8746985.119982395
3051	51	52	18950234.60222026	6121949.689342719	12828284.912877541
3052	52	53	28194378.633127764	9244144.030907504	18950234.60222026
3053	53	54	42245477.56010717	14051098.926979406	28194378.633127764
3054	54	55	63743658.91838566	21498181.35827849	42245477.56010717
3055	55	56	96850858.21013454	33107199.291748878	63743658.91838566
3056	56	57	148167017.1123453	51316158.902210765	96850858.21013454
3057	57	58	228220224.99979413	80053207.8874488	148167017.1123453
3058	58	59	353903761.38308877	125683536.38329463	228220224.99979413
3059	59	60	552483748.8686943	198579987.4856055	353903761.38308877
3060	60	61	868225928.9708071	315742180.10211277	552483748.8686943
3061	61	62	1373413417.1341875	505187488.16338044	868225928.9708071
3062	62	63	2186765273.07723	813351855.9430425	1373413417.1341875
3063	63	64	3504395279.704959	1317630006.627729	2186765273.07723
3064	64	65	5652132190.508157	2147736910.803198	3504395279.704959
3065	65	66	9174420724.2254	3522288533.717244	5652132190.508157
3066	66	67	14986196804.858852	5811776080.633452	9174420724.2254
3067	67	68	24633745098.71038	9647548293.85153	14986196804.858852
3068	68	69	40745150749.44244	16111405650.732054	24633745098.71038
3069	69	70	67812312242.67229	27067161493.22985	40745150749.44244
3070	70	71	113555815166.23074	45743502923.55845	67812312242.67229
3071	71	72	191319770136.2801	77763954970.04936	113555815166.23074
3072	72	73	324296133135.0645	132976362998.78441	191319770136.2801
3073	73	74	553015477492.9736	228719344357.90918	324296133135.0645
3074	74	75	948699943232.1565	395684465739.18286	553015477492.9736
3075	75	76	1637190913618.3347	688490970386.1782	948699943232.1565
3076	76	77	2842050111794.1465	1204859198175.812	1637190913618.3347
3077	77	78	4962602300583.576	2120552188789.4292	2842050111794.1465
3078	78	79	8715979674740.865	3753377374157.2896	4962602300583.576
3079	79	80	15396991400740.84	6681011725999.976	8715979674740.865
3080	80	81	27356002390280.797	11959010989539.957	15396991400740.84
3081	81	82	48882222171452.72	21526219781171.92	27356002390280.797
3082	82	83	87844679975373.9	38962457803921.18	48882222171452.72
3083	83	84	158756353178510.44	70911673203136.55	87844679975373.9
3084	84	85	288524715140250.3	129768361961739.89	158756353178510.44
3085	85	86	527298501149851.75	238773786009601.4	288524715140250.3
3086	86	87	969030005267614.4	441731504117762.6	527298501149851.75
3087	87	88	1790650602926653	821620597659038.5	969030005267614.4
3088	88	89	3327081120549055	1536430517622402	1790650602926653
3089	89	90	6215570493679170	2888489373130115.5	3327081120549055
3090	90	91	1.1674815408895088e+16	5459244915215918	6215570493679170
3091	91	92	2.2047380747805332e+16	1.0372565338910244e+16	1.1674815408895088e+16
3092	92	93	4.1858980545123896e+16	1.9811599797318564e+16	2.2047380747805332e+16
3093	93	94	7.989725215597554e+16	3.803827161085164e+16	4.1858980545123896e+16
3094	94	95	1.533111163649192e+17	7.341386420894366e+16	7.989725215597554e+16
3095	95	96	2.957340129302699e+17	1.424228965653507e+17	1.533111163649192e+17
3096	96	97	5.7345866123270374e+17	2.7772464830243386e+17	2.957340129302699e+17
3097	97	98	1.117798971905474e+18	5.4434031067277037e+17	5.7345866123270374e+17
3098	98	99	2.1901493839308316e+18	1.0723504120253576e+18	1.117798971905474e+18
3099	99	Max	4.3134031997410396e+18	2.123253815810208e+18	2.1901493839308316e+18
