Id	GlobalTexts
CHARACTER_NAME_0000	지니/Genie/지니/Genie
CHARACTER_NAME_0001	흡혈박쥐/Blood Bat/흡혈박쥐/Blood Bat
CHARACTER_NAME_0002	페어리/페어리
CHARACTER_NAME_0003	검은 고양이/검은 고양이
CHARACTER_NAME_0004	미믹/미믹
CHARACTER_NAME_0005	악령/악령
CHARACTER_NAME_0006	무녀/무녀
CHARACTER_NAME_0007	암모나이트/암모나이트
CHARACTER_NAME_0008	늑대/늑대
CHARACTER_NAME_0009	파이터/파이터
CHARACTER_NAME_0010	대마법사/대마법사
CHARACTER_NAME_0011	나이트/나이트
CHARACTER_NAME_0012	사이트/사이트
CHARACTER_NAME_0013	돌골렘/돌골렘
CHARACTER_NAME_0014	바위 정령/바위 정령
CHARACTER_NAME_0015	구체 정령/구체 정령
CHARACTER_NAME_0016	수호비/수호비
CHARACTER_NAME_0017	불꽃 정령/불꽃 정령
CHARACTER_NAME_0018	독개구리/독개구리
CHARACTER_NAME_0019	개스트/개스트
CHARACTER_NAME_0020	노움/노움
CHARACTER_NAME_0021	기괴한 머리/기괴한 머리
CHARACTER_NAME_0022	클래컨/클래컨
CHARACTER_NAME_0023	러커/러커
CHARACTER_NAME_0024	기괴한 가면/기괴한 가면
CHARACTER_NAME_0025	불나방/불나방
CHARACTER_NAME_0026	머미/머미
CHARACTER_NAME_0027	공허의 통로/공허의 통로
CHARACTER_NAME_0028	피라밋/피라밋
CHARACTER_NAME_0029	리퍼/리퍼
CHARACTER_NAME_0030	기계 골렘/기계 골렘
CHARACTER_NAME_0031	독전갈/독전갈
CHARACTER_NAME_0032	센트리/센트리
CHARACTER_NAME_0033	센트리 콥터/센트리 콥터
CHARACTER_NAME_0034	마법 방패/마법 방패
CHARACTER_NAME_0035	스켈레톤/스켈레톤
CHARACTER_NAME_0036	불타는 뼈해골/불타는 뼈해골
CHARACTER_NAME_0037	슬라임/슬라임
CHARACTER_NAME_0038	사각 슬라임/사각 슬라임
CHARACTER_NAME_0039	독사/독사
CHARACTER_NAME_0040	공허의 구체/공허의 구체
CHARACTER_NAME_0041	공허의 눈/공허의 눈
CHARACTER_NAME_0042	마법 검/마법 검
CHARACTER_NAME_0043	물 정령/물 정령
CHARACTER_NAME_0044	마녀/마녀
CHARACTER_NAME_0045	공허 뱀/공허 뱀
CHARACTER_NAME_0046	좀비/좀비
CHARACTER_DESC_0000	지니/Genie/지니/Genie
