Id	MonsterIndexes	MonsterLevels	MonsterPosition	RewardExp
11000	2000/2001/2002	0/0/0	3,5/2,5/4,5	50
11001	2000/2001/2002	0/1/0	3,5/2,5/4,5	100
11002	2000/2001/2002	0/1/0	3,5/2,5/4,5	150
11003	2000/2001/2002	0/1/0	3,5/2,5/4,5	200
11004	2000/2001/2002	0/1/0	3,5/2,5/4,5	250
11005	2000/2001/2002	0/1/0	3,5/2,5/4,5	300
11006	2000/2001/2002	0/1/0	3,5/2,5/4,5	350
11007	2000/2001/2002	0/1/0	3,5/2,5/4,5	400
11008	2000/2001/2002	0/1/0	3,5/2,5/4,5	450
11009	2000/2001/2002	0/1/0	3,5/2,5/4,5	500
11010	2000/2001/2002	0/1/0	3,5/2,5/4,5	550
11011	2000/2001/2002	0/1/0	3,5/2,5/4,5	600
11012	2000/2001/2002	0/1/0	3,5/2,5/4,5	650
11013	2000/2001/2002	0/1/0	3,5/2,5/4,5	700
11014	2000/2001/2002	0/1/0	3,5/2,5/4,5	750
11015	2000/2001/2002	0/1/0	3,5/2,5/4,5	800
11016	2000/2001/2002	0/1/0	3,5/2,5/4,5	850
11017	2000/2001/2002	0/1/0	3,5/2,5/4,5	900
11018	2000/2001/2002	0/1/0	3,5/2,5/4,5	950
