Id	Name	Desc	IsRangeAttack	GroundType	CharacterRoleType	Hp	HpInc	At	AtInc	Ap	ApInc	Df	DfInc	AttackSpeed	AttackIndex	SkillIndex	BulletResName	SpriteResName	AnimatorResName
0	CHARACTER_NAME_0000	CHARACTER_DESC_0000	true	Air	Range	428.4/579.6	53	38.25/51.75	0.9	38.25/51.75	0.9	22.1/29.9	0.82	0.78	0	1	BattleBulletElement	AirA	Air
1	CHARACTER_NAME_0001	CHARACTER_DESC_0001	false	Air	Melee	413.95/560.05	42	49.3/66.7	1.06	49.3/66.7	1.06	26.35/35.65	0.61	0.81	0	2	BattleBulletElement	BatQ	Bat
2	CHARACTER_NAME_0002	CHARACTER_DESC_0002	false	Air	Melee	370.6/501.4	34	28.9/39.1	0.88	28.9/39.1	0.88	20.4/27.6	0.53	0.64	0	3	BattleBulletElement	ButterflyA	Butterfly
3	CHARACTER_NAME_0003	CHARACTER_DESC_0003	false	Ground	Assassin	445.4/602.6	51	34.85/47.15	0.91	34.85/47.15	0.91	18.7/25.3	0.45	1.14	0	4	BattleBulletElement	CatF	Cat
4	CHARACTER_NAME_0004	CHARACTER_DESC_0004	false	Ground	Melee	478.55/647.45	59	41.65/56.35	1.1	41.65/56.35	1.1	37.4/50.6	1.15	0.72	0	5	BattleBulletElement	ChestA	Chest
5	CHARACTER_NAME_0005	CHARACTER_DESC_0005	false	Air	Melee	368.9/499.1	34	45.9/62.1	0.91	45.9/62.1	0.91	28.05/37.95	0.8	0.83	0	6	BattleBulletElement	CloudA	Cloud
6	CHARACTER_NAME_0006	CHARACTER_DESC_0006	false	Ground	Melee	361.25/488.75	33	48.45/65.55	0.93	48.45/65.55	0.93	28.9/39.1	0.77	0.83	0	7	BattleBulletElement	CountA	Count
7	CHARACTER_NAME_0007	CHARACTER_DESC_0007	false	Ground	Melee	498.1/673.9	64	40.8/55.2	0.83	40.8/55.2	0.83	44.2/59.8	1.24	0.69	0	8	BattleBulletElement	CrabC	Crab
8	CHARACTER_NAME_0008	CHARACTER_DESC_0008	false	Ground	Melee	452.2/611.8	53	42.5/57.5	1.12	42.5/57.5	1.12	22.95/31.05	0.58	0.73	0	9	BattleBulletElement	DogG	Dog
9	CHARACTER_NAME_0009	CHARACTER_DESC_0009	false	Ground	Melee	476/644	57	39.95/54.05	1.07	39.95/54.05	1.07	30.6/41.4	0.84	0.89	0	10	BattleBulletElement	DwarfD	Dwarf
10	CHARACTER_NAME_0010	CHARACTER_DESC_0010	false	Ground	Melee	364.65/493.35	31	52.7/71.3	1.21	52.7/71.3	1.21	17/23	0.42	0.61	0	11	BattleBulletElement	DwarfA	Dwarf
11	CHARACTER_NAME_0011	CHARACTER_DESC_0011	false	Ground	Melee	467.5/632.5	57	38.25/51.75	1.05	38.25/51.75	1.05	35.7/48.3	1.1	0.7	0	12	BattleBulletElement	DwarfE	Dwarf
12	CHARACTER_NAME_0012	CHARACTER_DESC_0012	false	Air	Melee	368.9/499.1	33	40.8/55.2	0.91	40.8/55.2	0.91	0/0	0	0.7	0	13	BattleBulletElement	DyeA	Dye
13	CHARACTER_NAME_0013	CHARACTER_DESC_0013	false	Ground	Melee	520.2/703.8	72	28.9/39.1	0.76	28.9/39.1	0.76	45.9/62.1	1.07	0.63	0	14	BattleBulletElement	EarthA	Earth
14	CHARACTER_NAME_0014	CHARACTER_DESC_0014	false	Air	Melee	459.85/622.15	33	40.8/55.2	0.91	40.8/55.2	0.91	0/0	0	0.7	0	15	BattleBulletElement	EarthSmallerA	EarthSmaller
15	CHARACTER_NAME_0015	CHARACTER_DESC_0015	false	Air	Melee	457.3/618.7	33	40.8/55.2	0.91	40.8/55.2	0.91	0/0	0	0.7	0	16	BattleBulletElement	ElementalOrbA	ElementalOrb
16	CHARACTER_NAME_0016	CHARACTER_DESC_0016	false	Ground	Melee	461.55/624.45	33	26.35/35.65	0.67	26.35/35.65	0.67	51/69	1.32	0.58	0	17	BattleBulletElement	FactoryA	Factory
