Id	Level	LevelString	AccReqExp	ReqExp	CoExp
0	0	1	100	100	0
1	1	2	205	105	100
2	2	3	315.25	110.25	205
3	3	4	431.0125	115.7625	315.25
4	4	5	552.563125	121.55062500000001	431.0125
5	5	6	680.19128125	127.62815625000002	552.563125
6	6	7	814.2008453125	134.00956406250003	680.19128125
7	7	8	954.910887578125	140.71004226562505	814.2008453125
8	8	9	1102.6564319570314	147.74554437890632	954.910887578125
9	9	10	1257.789253554883	155.13282159785163	1102.6564319570314
10	10	11	1420.6787162326273	162.8894626777442	1257.789253554883
11	11	12	1599.857125178146	179.17840894551864	1420.6787162326273
12	12	13	1796.9533750182163	197.09624984007053	1599.857125178146
13	13	14	2013.759249842294	216.8058748240776	1796.9533750182163
14	14	15	2252.245712148779	238.48646230648538	2013.759249842294
15	15	16	2514.580820685913	262.3351085371339	2252.245712148779
16	16	17	2803.14944007676	288.56861939084735	2514.580820685913
17	17	18	3120.5749214066923	317.4254813299321	2803.14944007676
18	18	19	3469.7429508696177	349.16802946292535	3120.5749214066923
19	19	20	3853.827783278836	384.08483240921794	3469.7429508696177
20	20	21	4276.3210989289755	422.4933156501398	3853.827783278836
21	21	22	4762.188411926636	485.8673129976607	4276.3210989289755
22	22	23	5320.935821873945	558.7474099473097	4762.188411926636
23	23	24	5963.495343313351	642.5595214394061	5320.935821873945
24	24	25	6702.438792968668	738.943449655317	5963.495343313351
25	25	26	7552.223760072283	849.7849671036145	6702.438792968668
26	26	27	8529.47647224144	977.2527121691566	7552.223760072283
27	27	28	9653.317091235971	1123.84061899453	8529.47647224144
28	28	29	10945.73380307968	1292.4167118437092	9653.317091235971
29	29	30	12432.013021699946	1486.2792186202655	10945.73380307968
30	30	31	14141.23412311325	1709.2211014133052	12432.013021699946
31	31	32	16192.299444809218	2051.0653216959663	14141.23412311325
32	32	33	18653.577830844377	2461.2783860351597	16192.299444809218
33	33	34	21607.111894086567	2953.5340632421917	18653.577830844377
34	34	35	25151.3527699772	3544.24087589063	21607.111894086567
35	35	36	29404.441821045955	4253.089051068756	25151.3527699772
36	36	37	34508.148682328465	5103.706861282507	29404.441821045955
37	37	38	40632.59691586747	6124.4482335390085	34508.148682328465
38	38	39	47981.93479611428	7349.33788024681	40632.59691586747
39	39	40	56801.14025241045	8819.205456296171	47981.93479611428
40	40	41	67384.18679996586	10583.046547555405	56801.14025241045
41	41	42	80612.99498441012	13228.808184444257	67384.18679996586
42	42	43	97149.00521496544	16536.010230555323	80612.99498441012
43	43	44	117819.01800315958	20670.01278819415	97149.00521496544
44	44	45	143656.53398840228	25837.515985242688	117819.01800315958
45	45	46	175953.42896995565	32296.89498155336	143656.53398840228
46	46	47	216324.54769689735	40371.1187269417	175953.42896995565
47	47	48	266788.4461055745	50463.89840867712	216324.54769689735
48	48	49	329868.3191164209	63079.87301084641	266788.4461055745
49	49	50	408718.16037997894	78849.84126355802	329868.3191164209
50	50	Max	507280.46195942647	98562.30157944752	408718.16037997894
