Id	InvokeSkillIndex	AfterSkillIndex	Name	Desc	SkillActiveCondition	SkillAbilityType	StatusChangeType	InvokeCount	InvokeTime	SkillTarget	SkillValue	SkillValueType	RefSkillValueTarget	RefSkillAbilityType	RefSkillValueAmount	RefHealthType	BattleStateType	BattleStateSeconds	InvokeParticleIndex	ApplyParticleIndex	AfterParticleIndex
0	0	0	SKILL_NAME_0000	SKILL_DESC_0000	OnActive	HealthPoint	Decrease	1	0	Enemy	0	Number	Self	PhysicalDamage	1	None	None	0	0	0	0
1	0	0	SKILL_NAME_0001	SKILL_DESC_0001	OnActive	HealthPoint	Increase	1	0	Ally	45	Number	Self	MagicalDamage	0.25	None	None	0	9000	9000	9000
2	0	40021	SKILL_NAME_0002	SKILL_DESC_0002	OnActive	HealthPoint	Decrease	1	0	Enemy	60	Number	Self	PhysicalDamage	0.15	None	None	0	9000	9000	9000
3	0	0	SKILL_NAME_0002	SKILL_DESC_0002	OnAfter	HealthPoint	Increase	1	0	Ally	100	Percent	Damage	None	0	None	None	0	9000	9000	9000
4	0	0	SKILL_NAME_0003	SKILL_DESC_0003	OnActive	HealthPoint	Increase	1	0	Ally	65	Number	Self	MagicalDamage	0.4	None	None	0	9000	9000	9000
5	0	0	SKILL_NAME_0004	SKILL_DESC_0004	OnActive	HealthPoint	Decrease	2	0	Enemy	35	Number	Self	PhysicalDamage	0.4	None	None	0	9000	9000	9000
6	0	0	SKILL_NAME_0005	SKILL_DESC_0005	OnDeath	HealthPoint	Decrease	1	0	Enemy	100	Number	Self	HealthPoint	0.05	MaxHealth	None	0	9000	9000	9000
7	0	0	SKILL_NAME_0006	SKILL_DESC_0006	OnActive	HealthPoint	Decrease	1	0	Enemy	45	Number	Self	MagicalDamage	0.25	None	Curse	5	9000	9000	9000
8	0	0	SKILL_NAME_0007	SKILL_DESC_0007	OnActive	HealthPoint	Decrease	1	0	Enemy	80	Number	Self	MagicalDamage	1	None	None	0	9000	9000	9000
9	0	0	SKILL_NAME_0008	SKILL_DESC_0008	OnActive	PhysicalRegistance	Increase	1	15	Ally	8	Number	Self	HealthPoint	0.25	MaxHealth	None	0	9000	9000	9000
10	40091	0	SKILL_NAME_0009	SKILL_DESC_0009	OnActive	HealthPoint	Decrease	1	0	Enemy	50	Number	Self	PhysicalDamage	0.25	None	None	0	9000	9000	9000
11	0	0	SKILL_NAME_0009	SKILL_DESC_0009	OnActive	BehaveSpeed	Decrease	1	3	Enemy	15	Percent	Self	None	0	None	None	0	9000	9000	9000
12	0	0	SKILL_NAME_0010	SKILL_DESC_0010	OnActive	HealthPoint	Decrease	1	0	Enemy	60	Number	Self	PhysicalDamage	0.4	None	Stun	1.5	9000	9000	9000
13	40111	0	SKILL_NAME_0011	SKILL_DESC_0011	OnActive	HealthPoint	Decrease	1	0	Enemy	60	Number	Self	MagicalDamage	0.6	None	None	0	9000	9000	9000
14	0	0	SKILL_NAME_0011	SKILL_DESC_0011	OnActive	HealthPoint	Decrease	1	0	Enemy	25	Number	Self	MagicalDamage	0.3	None	None	0	9000	9000	9000
15	0	0	SKILL_NAME_0012	SKILL_DESC_0012	OnActive	PhysicalDamage	Increase	1	5	Ally	6	Number	Self	HealthPoint	0.04	MaxHealth	None	0	9000	9000	9000
16	0	0	SKILL_NAME_0013	SKILL_DESC_0013	OnActive	HealthPoint	Decrease	1	0	Enemy	65	Number	Self	MagicalDamage	0.75	None	None	0	9000	9000	9000
17	40131	0	SKILL_NAME_0013	SKILL_DESC_0013	OnActive	PhysicalRegistance	Decrease	1	5	Enemy	10	Number	Self	MagicalDamage	0.1	None	None	0	9000	9000	9000
18	0	0	SKILL_NAME_0014	SKILL_DESC_0014	OnActive	PhysicalRegistance	Increase	1	5	Ally	12	Number	Self	HealthPoint	0.005	MaxHealth	None	0	9000	9000	9000
19	0	0	SKILL_NAME_0015	SKILL_DESC_0015	OnActive	HealthPoint	Decrease	1	0	Enemy	60	Number	Self	PhysicalRegistance	0.35	None	None	0	9000	9000	9000
20	0	0	SKILL_NAME_0016	SKILL_DESC_0016	OnActive	HealthPoint	Decrease	1	0	Ally	60	Percent	Self	PhysicalRegistance	0.25	None	Reflex	10	9000	9000	9000
21	0	0	SKILL_NAME_0017	SKILL_DESC_0017	OnActive	PhysicalRegistance	Increase	1	0	Ally	8	Number	Self	PhysicalRegistance	0.02	None	None	0	9000	9000	9000
22	40181	0	SKILL_NAME_0018	SKILL_DESC_0018	OnActive	HealthPoint	Decrease	1	0	Enemy	45	Number	Self	MagicalDamage	0.25	None	None	0	9000	9000	9000
23	0	0	SKILL_NAME_0018	SKILL_DESC_0018	OnActive	HealthPoint	Decrease	1	3	Enemy	15	Number	Self	MagicalDamage	0.1	None	None	0	9000	9000	9000
24	0	0	SKILL_NAME_0019	SKILL_DESC_0019	OnActive	HealthPoint	Decrease	1	3	Enemy	15	Number	Self	MagicalDamage	0.25	None	None	0	9000	9000	9000
25	0	0	SKILL_NAME_0020	SKILL_DESC_0020	OnActive	PhysicalDamage	Decrease	1	0	Enemy	45	Number	Self	MagicalDamage	0.1	None	Stun	2	9000	9000	9000
26	0	0	SKILL_NAME_0021	SKILL_DESC_0021	OnActive	PhysicalRegistance	Decrease	1	10	Enemy	5	Percent	Self	MagicalDamage	0.01	None	None	0	9000	9000	9000
