Id	AbilityType	EquipmentAbilityGradeIndex	BaseValue	AddValuePerLevel
0	HealthPoint	0	3	2
1	ManaPoint	0	2	1
2	PhysicalDamage	0	2	1
3	MagicalDamage	0	1	1
4	PhysicalRegistance	0	2	1
5	MagicalRegistance	0	3	1
6	BehaveSpeed	0	480	48
7	CriticalProbability	0	820	82
8	CriticalDamagePercent	0	200	20
9	HitProbability	0	600	60
10	EvadeProbability	0	1600	160
11	FlameRegistance	0	440	44
12	ShockRegistance	0	860	86
13	FrozenRegistance	0	860	86
14	HealthPoint	1	3	2
15	ManaPoint	1	2	1
16	PhysicalDamage	1	2	1
17	MagicalDamage	1	1	1
18	PhysicalRegistance	1	2	1
19	MagicalRegistance	1	3	1
20	BehaveSpeed	1	480	48
21	CriticalProbability	1	820	82
22	CriticalDamagePercent	1	200	20
23	HitProbability	1	600	60
24	EvadeProbability	1	1600	160
25	FlameRegistance	1	440	44
26	ShockRegistance	1	860	86
27	FrozenRegistance	1	860	86
28	HealthPoint	2	3	2
29	ManaPoint	2	2	1
30	PhysicalDamage	2	2	1
31	MagicalDamage	2	1	1
32	PhysicalRegistance	2	2	1
33	MagicalRegistance	2	3	1
34	BehaveSpeed	2	480	48
35	CriticalProbability	2	820	82
36	CriticalDamagePercent	2	200	20
37	HitProbability	2	600	60
38	EvadeProbability	2	1600	160
39	FlameRegistance	2	440	44
40	ShockRegistance	2	860	86
41	FrozenRegistance	2	860	86
42	HealthPoint	3	3	2
43	ManaPoint	3	2	1
44	PhysicalDamage	3	2	1
45	MagicalDamage	3	1	1
46	PhysicalRegistance	3	2	1
47	MagicalRegistance	3	3	1
48	BehaveSpeed	3	480	48
49	CriticalProbability	3	820	82
50	CriticalDamagePercent	3	200	20
51	HitProbability	3	600	60
52	EvadeProbability	3	1600	160
53	FlameRegistance	3	440	44
54	ShockRegistance	3	860	86
55	FrozenRegistance	3	860	86
56	HealthPoint	4	3	2
57	ManaPoint	4	2	1
58	PhysicalDamage	4	2	1
59	MagicalDamage	4	1	1
60	PhysicalRegistance	4	2	1
61	MagicalRegistance	4	3	1
62	BehaveSpeed	4	480	48
63	CriticalProbability	4	820	82
64	CriticalDamagePercent	4	200	20
65	HitProbability	4	600	60
66	EvadeProbability	4	1600	160
67	FlameRegistance	4	440	44
68	ShockRegistance	4	860	86
69	FrozenRegistance	4	860	86
