Id	Level	LevelString	AccReqExp	ReqExp	CoExp
0	0	1	100	100	0
1	1	2	205	105	100
2	2	3	315	110	205
3	3	4	431	115	315
4	4	5	552	121	431
5	5	6	680	127	552
6	6	7	814	134	680
7	7	8	954	140	814
8	8	9	1102	147	954
9	9	10	1257	155	1102
10	10	11	1420	162	1257
11	11	12	1599	179	1420
12	12	13	1796	197	1599
13	13	14	2013	216	1796
14	14	15	2252	238	2013
15	15	16	2514	262	2252
16	16	17	2803	288	2514
17	17	18	3120	317	2803
18	18	19	3469	349	3120
19	19	20	3853	384	3469
20	20	21	4276	422	3853
21	21	22	4762	485	4276
22	22	23	5320	558	4762
23	23	24	5963	642	5320
24	24	25	6702	738	5963
25	25	26	7552	849	6702
26	26	27	8529	977	7552
27	27	28	9653	1123	8529
28	28	29	10945	1292	9653
29	29	30	12432	1486	10945
30	30	31	14141	1709	12432
31	31	32	16192	2051	14141
32	32	33	18653	2461	16192
33	33	34	21607	2953	18653
34	34	35	25151	3544	21607
35	35	36	29404	4253	25151
36	36	37	34508	5103	29404
37	37	38	40632	6124	34508
38	38	39	47981	7349	40632
39	39	40	56801	8819	47981
40	40	41	67384	10583	56801
41	41	42	80612	13228	67384
42	42	43	97149	16536	80612
43	43	44	117819	20670	97149
44	44	45	143656	25837	117819
45	45	46	175953	32296	143656
46	46	47	216324	40371	175953
47	47	48	266788	50463	216324
48	48	49	329868	63079	266788
49	49	50	408718	78849	329868
50	50	Max	507280	98562	408718
